               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.053839,            0.044721,                   0,             0.87769,             0.65948,             0.73259,              0.3955,            0.048977,            0.042072,                   0,           0.0087019,           0.0087019,           0.0087019
                  64,            0.054556,            0.044779,                   0,             0.87952,             0.65875,             0.73305,             0.39617,            0.048942,            0.042046,                   0,           0.0086619,           0.0086619,           0.0086619
                  65,             0.05422,            0.044373,                   0,             0.87326,             0.66256,             0.73365,             0.39664,            0.048896,            0.042029,                   0,           0.0086214,           0.0086214,           0.0086214
                  66,             0.05405,            0.045169,                   0,             0.88033,             0.65878,             0.73382,             0.39696,             0.04887,            0.042027,                   0,           0.0085805,           0.0085805,           0.0085805
                  67,            0.054523,             0.04542,                   0,             0.87801,             0.66035,             0.73425,             0.39709,            0.048853,            0.042061,                   0,            0.008539,            0.008539,            0.008539
                  68,            0.054359,            0.045048,                   0,             0.87874,             0.66105,              0.7347,              0.3975,            0.048828,            0.042043,                   0,           0.0084971,           0.0084971,           0.0084971
                  69,             0.05429,            0.045833,                   0,             0.87647,             0.66374,             0.73605,             0.39798,            0.048786,            0.042018,                   0,           0.0084546,           0.0084546,           0.0084546
                  70,             0.05367,            0.044413,                   0,             0.87461,             0.66488,             0.73641,             0.39857,            0.048756,            0.042005,                   0,           0.0084118,           0.0084118,           0.0084118
                  71,            0.053552,            0.044976,                   0,             0.87515,             0.66449,             0.73646,             0.39875,            0.048734,            0.041985,                   0,           0.0083684,           0.0083684,           0.0083684
                  72,            0.053595,            0.044843,                   0,             0.86708,             0.66965,             0.73691,             0.39901,            0.048709,            0.041977,                   0,           0.0083246,           0.0083246,           0.0083246
                  73,            0.054341,            0.044893,                   0,             0.87602,             0.66534,             0.73737,             0.39941,             0.04869,            0.041965,                   0,           0.0082804,           0.0082804,           0.0082804
                  74,            0.053648,            0.044565,                   0,             0.86706,             0.67057,              0.7376,             0.39985,            0.048669,            0.041946,                   0,           0.0082357,           0.0082357,           0.0082357
                  75,            0.053474,             0.04511,                   0,             0.86701,             0.67123,             0.73799,             0.40019,            0.048654,            0.041935,                   0,           0.0081906,           0.0081906,           0.0081906
                  76,             0.05328,            0.044684,                   0,             0.86878,             0.66972,             0.73792,             0.40023,            0.048642,            0.041948,                   0,            0.008145,            0.008145,            0.008145
                  77,            0.053349,            0.044331,                   0,              0.8687,             0.67005,             0.73814,             0.40024,            0.048623,            0.041968,                   0,           0.0080991,           0.0080991,           0.0080991
                  78,            0.053568,            0.044087,                   0,             0.86284,             0.67352,              0.7383,             0.40055,            0.048603,            0.041963,                   0,           0.0080527,           0.0080527,           0.0080527
                  79,            0.054062,            0.044766,                   0,             0.85932,             0.67667,             0.73878,             0.40067,            0.048589,            0.041959,                   0,           0.0080059,           0.0080059,           0.0080059
                  80,            0.053608,            0.044166,                   0,             0.86328,             0.67431,              0.7389,             0.40103,            0.048571,             0.04196,                   0,           0.0079588,           0.0079588,           0.0079588
                  81,            0.053429,            0.044118,                   0,             0.85354,             0.67995,             0.73867,             0.40083,            0.048558,            0.041956,                   0,           0.0079112,           0.0079112,           0.0079112
                  82,            0.053241,            0.044531,                   0,             0.86872,             0.67022,             0.73877,             0.40112,            0.048539,            0.041951,                   0,           0.0078633,           0.0078633,           0.0078633
                  83,            0.053302,            0.044524,                   0,              0.8549,             0.67922,             0.73901,             0.40136,            0.048525,            0.041945,                   0,            0.007815,            0.007815,            0.007815
                  84,            0.053232,             0.04421,                   0,             0.85707,             0.67781,             0.73908,             0.40166,             0.04851,            0.041947,                   0,           0.0077663,           0.0077663,           0.0077663
                  85,            0.053225,            0.044682,                   0,             0.85437,             0.67977,             0.73908,             0.40196,            0.048495,            0.041942,                   0,           0.0077173,           0.0077173,           0.0077173
                  86,            0.052919,            0.044427,                   0,             0.85541,             0.67914,             0.73901,             0.40214,            0.048482,            0.041939,                   0,           0.0076679,           0.0076679,           0.0076679
                  87,            0.052808,            0.043706,                   0,             0.86968,             0.67062,             0.73945,             0.40225,            0.048473,            0.041935,                   0,           0.0076182,           0.0076182,           0.0076182
                  88,            0.053058,            0.044915,                   0,             0.85574,             0.67926,             0.73954,             0.40242,            0.048463,             0.04193,                   0,           0.0075681,           0.0075681,           0.0075681
                  89,            0.052697,             0.04332,                   0,             0.86093,             0.67632,             0.73977,              0.4024,            0.048452,            0.041922,                   0,           0.0075177,           0.0075177,           0.0075177
                  90,            0.052787,             0.04306,                   0,              0.8617,             0.67642,             0.74012,              0.4025,            0.048437,            0.041917,                   0,            0.007467,            0.007467,            0.007467
                  91,            0.052503,            0.043099,                   0,             0.87206,             0.66999,             0.74018,             0.40257,            0.048424,            0.041917,                   0,            0.007416,            0.007416,            0.007416
                  92,            0.052798,            0.044132,                   0,             0.87308,             0.66919,             0.74018,             0.40273,            0.048412,            0.041911,                   0,           0.0073647,           0.0073647,           0.0073647
                  93,            0.052839,            0.043657,                   0,             0.87851,             0.66671,             0.74049,             0.40285,            0.048403,             0.04191,                   0,           0.0073131,           0.0073131,           0.0073131
                  94,            0.052697,            0.043206,                   0,             0.87931,             0.66616,             0.74049,               0.403,            0.048393,            0.041902,                   0,           0.0072612,           0.0072612,           0.0072612
                  95,            0.053169,            0.044388,                   0,             0.87974,              0.6662,             0.74066,             0.40318,            0.048379,            0.041899,                   0,            0.007209,            0.007209,            0.007209
                  96,            0.052986,            0.043956,                   0,             0.87496,             0.66929,             0.74067,             0.40319,            0.048369,            0.041894,                   0,           0.0071566,           0.0071566,           0.0071566
                  97,            0.053036,            0.042664,                   0,              0.8614,             0.67752,             0.74104,             0.40337,             0.04836,            0.041885,                   0,           0.0071039,           0.0071039,           0.0071039
                  98,            0.052144,            0.043198,                   0,             0.87896,             0.66707,             0.74111,             0.40358,            0.048351,            0.041873,                   0,           0.0070509,           0.0070509,           0.0070509
                  99,            0.052963,            0.044037,                   0,             0.87928,             0.66692,             0.74098,             0.40365,            0.048343,            0.041876,                   0,           0.0069977,           0.0069977,           0.0069977
                 100,             0.05255,              0.0437,                   0,             0.87918,             0.66737,              0.7413,             0.40379,            0.048337,            0.041878,                   0,           0.0069442,           0.0069442,           0.0069442
                 101,            0.052784,            0.044204,                   0,             0.87319,             0.67117,             0.74164,             0.40387,            0.048329,            0.041872,                   0,           0.0068906,           0.0068906,           0.0068906
                 102,            0.052334,            0.043443,                   0,             0.87407,             0.67109,             0.74191,             0.40402,            0.048319,            0.041867,                   0,           0.0068367,           0.0068367,           0.0068367
                 103,             0.05244,            0.044302,                   0,             0.85885,             0.68053,             0.74204,             0.40414,            0.048309,             0.04187,                   0,           0.0067826,           0.0067826,           0.0067826
                 104,             0.05266,            0.043493,                   0,             0.87496,             0.67083,             0.74212,             0.40426,            0.048299,            0.041868,                   0,           0.0067283,           0.0067283,           0.0067283
                 105,            0.052373,            0.043578,                   0,             0.87618,             0.67032,             0.74215,             0.40433,            0.048292,            0.041868,                   0,           0.0066738,           0.0066738,           0.0066738
                 106,            0.052053,            0.042732,                   0,             0.87718,             0.66987,             0.74221,             0.40434,            0.048284,            0.041872,                   0,           0.0066191,           0.0066191,           0.0066191
                 107,            0.052478,            0.043189,                   0,             0.87718,             0.67025,              0.7424,             0.40444,            0.048277,            0.041863,                   0,           0.0065642,           0.0065642,           0.0065642
                 108,            0.052043,            0.043244,                   0,             0.87934,             0.66901,             0.74243,             0.40456,             0.04827,            0.041862,                   0,           0.0065092,           0.0065092,           0.0065092
                 109,            0.051925,            0.042662,                   0,             0.86803,             0.67584,             0.74251,             0.40477,            0.048261,            0.041855,                   0,            0.006454,            0.006454,            0.006454
                 110,            0.051983,            0.042422,                   0,             0.87911,             0.66941,             0.74264,             0.40475,            0.048254,            0.041852,                   0,           0.0063987,           0.0063987,           0.0063987
                 111,            0.052167,            0.043725,                   0,             0.87907,             0.66967,             0.74282,             0.40499,            0.048246,            0.041851,                   0,           0.0063432,           0.0063432,           0.0063432
                 112,             0.05222,             0.04369,                   0,               0.865,             0.67854,             0.74307,             0.40519,            0.048239,             0.04185,                   0,           0.0062876,           0.0062876,           0.0062876
                 113,            0.052033,            0.042514,                   0,             0.86941,             0.67594,             0.74341,              0.4053,            0.048232,            0.041847,                   0,           0.0062319,           0.0062319,           0.0062319
                 114,            0.052097,            0.043973,                   0,             0.86978,             0.67582,             0.74362,             0.40505,            0.048226,            0.041855,                   0,            0.006176,            0.006176,            0.006176
                 115,            0.052527,            0.043797,                   0,             0.86468,             0.67874,             0.74361,              0.4052,            0.048218,            0.041864,                   0,           0.0061201,           0.0061201,           0.0061201
                 116,            0.052594,            0.043445,                   0,             0.86407,             0.67918,             0.74375,             0.40518,            0.048213,            0.041864,                   0,            0.006064,            0.006064,            0.006064
                 117,            0.052162,            0.043309,                   0,             0.86489,             0.67895,             0.74397,             0.40541,            0.048206,             0.04186,                   0,           0.0060079,           0.0060079,           0.0060079
                 118,            0.051997,            0.042926,                   0,             0.86483,             0.67927,             0.74413,              0.4054,            0.048199,             0.04186,                   0,           0.0059516,           0.0059516,           0.0059516
                 119,            0.051597,            0.043221,                   0,             0.87507,             0.67318,             0.74421,             0.40544,             0.04819,            0.041865,                   0,           0.0058953,           0.0058953,           0.0058953
                 120,            0.051235,            0.042949,                   0,             0.87764,             0.67163,             0.74425,             0.40558,            0.048182,            0.041861,                   0,            0.005839,            0.005839,            0.005839
                 121,             0.05156,            0.041955,                   0,              0.8785,             0.67158,             0.74438,             0.40587,            0.048175,            0.041861,                   0,           0.0057826,           0.0057826,           0.0057826
                 122,            0.051348,            0.042529,                   0,             0.87643,             0.67303,             0.74454,             0.40585,            0.048167,            0.041863,                   0,           0.0057261,           0.0057261,           0.0057261
                 123,             0.05187,            0.043265,                   0,             0.85742,             0.68466,             0.74464,             0.40594,             0.04816,            0.041862,                   0,           0.0056696,           0.0056696,           0.0056696
                 124,             0.05177,             0.04326,                   0,             0.85885,             0.68413,             0.74513,             0.40598,            0.048152,            0.041862,                   0,           0.0056131,           0.0056131,           0.0056131
                 125,            0.051427,            0.042632,                   0,             0.87152,             0.67629,             0.74518,             0.40602,            0.048146,            0.041856,                   0,           0.0055565,           0.0055565,           0.0055565
                 126,            0.051164,            0.042432,                   0,             0.87306,             0.67579,             0.74521,             0.40617,            0.048139,            0.041852,                   0,              0.0055,              0.0055,              0.0055
